 Metabolite_name	RefMet_name	K1	K10	K11	K12	K13	K2	K3	K4	K5	K7	K8	K9	245c	248c	249c	250c	252c	253c	257c	258c	259c	s251	s253	s293	s294	s299	s303	s313	s315	s318	s330	s336	s339	s345	245t	248t	249t	250t	252t	253t	257t	258t	259t
Factors	-	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema
2-Hydroxy-3-methylbutyric acid	2-Hydroxy-3-methylbutyric acid	6.7000	13.7000	5.9000	5.8000	7.1000	15.4000	6.7000	3.5000	14.9000	10.2000	9.8000	4.7000	4.6000	9.1000	10.4000	5.8000	6.9000	10.9000	8.6000	7	5.9000	6.8000	11.6000	8.3000	16.1000	5.1000	10.6000	7.9000	12.7000	8.4000	13.2000	10.7000	13.2000	10.6000	0.6000	4.1000	8.4000	1.5000	4.9000	9.3000	4.9000	1.4000	4.7000
2-Hydroxy-3-methyl-pentanoic acid	2-Hydroxy-3-methyl-pentanoic acid	26.7000	24.9000	26	22.9000	26.4000	25.4000	21.9000	25.5000	21.9000	25.7000	29.4000	22.2000	14.9000	21.4000	21.3000	13.8000	47.2000	12.4000	44.5000	18.2000	15.8000	60	18.6000	17.8000	19.7000	10.9000	16.6000	79.5000	17	34.8000	35.5000	7.6000	26.7000	24.6000	13.2000	10.1000	11.9000	14.4000	31.4000	14.5000	21.2000	22.9000	9.1000
2-Hydroxybutyric acid	2-Hydroxybutyric acid	100.2000	50	69.5000	70.5000	36.7000	82.7000	53.6000	47.3000	65.7000	88.2000	64.5000	43.9000	42.1000	50.7000	105.8000	38.1000	68.8000	89.9000	63.1000	70.7000	57.9000	91.8000	87.6000	61.2000	156.6000	79.2000	108.5000	104.4000	78.7000	94	108.5000	64.3000	134.3000	89.6000	31.2000	44.4000	85.9000	22.8000	53.9000	77.1000	38.6000	42.7000	39.8000
2S-Aminobutyric acid	2S-Aminobutyric acid	33.3000	26.6000	30	24.3000	18	33.8000	33	27	22.3000	24.1000	30.9000	25.5000	18.2000	20.8000	26.1000	11.8000	40	33	20.5000	34.2000	19.4000	42.3000	22.5000	14.9000	29.8000	24.2000	27.5000	29.4000	21.1000	47.5000	16.6000	15.8000	42.2000	36.7000	9.1000	24.8000	24.4000	10.7000	36.9000	21.1000	17	31	21.9000
3-Hydroxybutyric acid	3-Hydroxybutyric acid	232.5000	416.6000	95.7000	279.5000	59.6000	295.2000	212	138.8000	38.2000	805.9000	100.4000	87.9000	38.2000	74.8000	450.2000	26.3000	323.2000	65.9000	232.7000	131.1000	108.2000	362.9000	160.4000	305.5000	72.3000	202.2000	118.9000	52.7000	149.3000	46.6000	73.2000	107.9000	57.1000	140.1000	47.8000	70.1000	264.3000	33.1000	257.5000	110.4000	27.2000	40.9000	58.8000
3-Hydroxyisobutyric acid	3-Hydroxyisobutyric acid	30.9000	36.7000	37.4000	26.9000	28.4000	39.1000	33.1000	31.3000	36.3000	24.5000	30	26	4.1000	5	9.2000	4.6000	5.6000	7.8000	7.7000	5.2000	5.1000	35.2000	29.8000	24.9000	39.2000	24.8000	30.6000	32.3000	31	32.5000	47.7000	28.7000	45.4000	30	18.5000	8.2000	14.2000	27.2000	20.7000	13.3000	8.4000	13.4000	21.2000
3-Methyl-2-oxovaleric acid	3-Methyl-2-oxovaleric acid	7.7000	4.3000	8.7000	7.3000	4.3000	3.1000	6	3.8000	6.4000	8.8000	5.7000	6.4000	14.8000	19	25.8000	12.9000	19.5000	19.5000	16.9000	22.2000	18.9000	33.8000	24.7000	20.5000	37.4000	21.1000	26.7000	29.3000	21	31.4000	37.6000	25.8000	42.6000	31.3000	9.9000	11.9000	14.8000	8.7000	7.4000	14.8000	12	19.8000	14.7000
Acetic acid	Acetic acid	248.4000	253	284.6000	258.9000	243.1000	240.5000	242.2000	262	355	227.5000	320.1000	250.2000	50.1000	58	53.4000	50.4000	55.8000	48.8000	59.9000	74.1000	57.5000	368.2000	411.4000	366.7000	396.4000	354.6000	515.1000	329.1000	356.8000	343.4000	414	302.8000	305.8000	310.2000	45.7000	60.5000	48.4000	45.7000	56.7000	53.3000	49.2000	64.2000	63
Alanine	Alanine	422.3000	435.8000	604.4000	320.5000	358.8000	432.8000	318.1000	327.8000	413.8000	312	522.7000	382.3000	301.5000	481.9000	485.6000	465.2000	400.7000	393.3000	396.9000	401.9000	336.8000	458.7000	551.5000	456.9000	811.6000	461.4000	498.5000	912.1000	632.2000	924.9000	705.6000	604	817.6000	539.9000	271.7000	413.4000	478.3000	459	486.6000	301.4000	531.8000	354.3000	379.7000
