"Metabolite","Group Area: HILIC_Neg_WT1","Group Area: HILIC_Neg_WT2","Group Area: HILIC_Neg_WT3","Group Area: HILIC_Neg_WRN1","Group Area: HILIC_Neg_WRN2","Group Area: HILIC_Neg_WRN3","Group Area: HILIC_Neg_shPGC1B1","Group Area: HILIC_Neg_shPGC1B2","Group Area: HILIC_Neg_shPGC1B3"
"Adenine",2.95926948627411,2.71905510236811,2.77478171324288,2.30567296277796,3.62451450842328,2.46836826464685,1.92885987690929,3.00716026825707,1.85263687337092
"Acetyl.D.alanine",-1.20578276808752,-1.18411092934339,-0.780827005661578,0.204959507888731,0.100094059515296,0.59385796945261,0.72421351698398,-0.0550720568668126,1.01303679108897
"Adenosine.5..monophosphate",2.22098573678888,2.17440272657234,2.45520779697804,3.79410232573901,3.94689554430785,3.64690221378087,3.84577900707077,4.18200343371972,3.99929233728044
"Glutathione.reduced",0.168420641750252,-3.40849382483561,1.38151777093942,1.90628607174757,2.08485085021433,2.84349826521555,1.39139640021745,0.0221523600346529,2.49596859299694
"UDP.β.D.Glucose",2.95630273892608,2.19502545808251,3.40580206814247,3.31204225279015,3.04782737751284,3.3065046450665,2.07738785832722,2.22637788207544,2.50880983115148
"Taurine",-0.305005963711476,0.0478084258589746,0.613464709244404,3.56562953012851,3.42376619531756,3.90344285836573,4.27291280997898,2.6848941274919,4.56749281471724
"Creatine",-2.99914660861668,-2.19597607900901,-2.21252703290409,1.49780122865383,1.43964270408233,1.89610754984005,1.47439311747265,0.261390290198975,1.90169315132085
"Glutamic.acid",4.59650360733006,4.93183181828702,5.3640479397868,6.22388336743792,6.18098256443009,6.70582845621842,6.63723748203717,5.35839711403775,7.05202705888899
"Uridine",4.34470867778682,4.2821559385052,4.38792914336283,3.82639274381583,4.26808082195888,4.28400455345942,3.96779404541314,4.16156667138107,4.13881108162001
"Myoinositol",2.25288782742217,2.6315523333206,3.08417575997019,4.18773145340278,4.12639568224749,4.49585200134718,4.93469784748442,3.80721758394181,5.46272104057385
