"feature_id","Area: 1_Empty_Pos.raw (F1)","Area: 2_Empty_Pos.raw (F2)","Area: 3_Untransfected_Pos.raw (F3)","Area: 4_Untransfected_Pos.raw (F4)","Area: 5_Wild_type_Pos.raw (F5)","Area: 6_Wild_type_Pos.raw (F6)","Area: 7_S90G_mutant1_Pos.raw (F7)","Area: 8_S90G_mutant1_Pos.raw (F8)","Area: 9_G97L_mutant2_Pos.raw (F9)","Area: 10_G97L_mutant2_Pos.raw (F10)","Area: 11_W520X_mutant3_Pos.raw (F11)","Area: 12_W520X_mutant3_Pos.raw (F12)","Area: 13_Empty_Pos.raw (F13)","Area: 14_Empty_Pos.raw (F14)","Area: 15_Untransfected_Pos.raw (F15)","Area: 16_Untransfected_Pos.raw (F16)","Area: 17_Wild_type_Pos.raw (F17)","Area: 18_Wild_type_Pos.raw (F18)","Area: 19_S90G_mutant1_Pos.raw (F19)","Area: 20_S90G_mutant1_Pos.raw (F20)","Area: 21_G97L_mutant2_Pos.raw (F21)","Area: 22_G97L_mutant2_Pos.raw (F22)","Area: 23_W520X_mutant3_Pos.raw (F23)","Area: 24_W520X_mutant3_Pos.raw (F24)"
"Lyso PC(18:1)-d7",18082.9115797828,10326.3144266819,25333.3256573144,29272.3780438457,22653.8743681435,21325.493021311,22989.1769876118,25623.1092677656,26829.0116653267,23994.3275345279,27081.8226454295,22486.4830606522,914670544.263646,1006881450.62706,728517663.578048,787087050.343091,796645299.490882,840403310.246096,822476919.706816,815971695.102014,805294903.164749,788916207.542073,727673674.862786,897246816.771177
"PC(15:0-18:1)-d7",44530.9216711786,43053.107381306,737926.613119233,723704.942930508,750739.249699924,279800.624691793,788438.689199213,590693.355727852,793161.640699454,712698.338586088,736308.557332463,662085.192130504,85697438.764468,88921890.0100919,98720777.6971132,102546221.373375,98107144.714435,108690267.374495,108055317.837455,112223978.906553,115302553.028012,103864338.244868,115575755.239899,125075075.711912
"PC(15:0-18:1)-d7_duplicate_1",34090.630813927,21375.1795611435,769133.596139065,324369.128484438,379722.645810929,279800.624691793,299516.658928129,590693.355727852,440355.615288168,328201.546540643,2112285.89389134,303768.922483881,5637227414.81902,6030665616.82944,4623558631.11796,4728704069.58377,4534887972.5715,4982372787.60374,4943811199.25905,5111199773.77616,5203805240.67881,4759876117.56844,5101432779.02239,5588830023.5711
"Coenzyme Q10-d9",1759500.59768157,1058330.59073658,316438.157035438,248761.579490859,1582409.07034864,506112.101230706,385458.32636047,1387991.75298863,1396233.35897046,1817430.73934796,316773.004147701,241020.555723864,8613252301.56936,9225208829.02877,7101366229.04254,7629793598.81099,4150110214.80616,6122718419.6185,8072849178.69035,8767181164.26255,7373676806.99929,7855510744.79471,7498109350.57062,7648968713.50034
"SM(18:1)-d9",21202.4798625588,21645.3473373497,1091510.60739011,1083798.78922371,1077866.58280339,1207691.87788689,1095467.67848528,532268.354521902,1070646.05264331,1118270.26648517,1033321.91463757,977669.926853207,823474696.794016,888616705.064561,686774714.950915,703293305.451038,723154681.860334,756359564.404752,746365114.578593,764538435.516298,744785902.276687,712159680.04261,756863236.944721,836461287.654143
"SM(18:1)-d9_duplicate_1",68766.1292998388,73468.8521553489,2072288.24445858,2243252.72456035,2240385.86280442,2108561.98103794,2098779.67658887,1133509.72562815,2030606.3309382,2127701.29605703,2121632.36199462,2011840.41213571,5735560.24329847,6091041.64277,761345.385717656,4837987.44565114,5381303.1392532,5372075.38606005,5850702.41178655,4957516.71850189,5292803.0511973,4862543.54296836,5047173.93210409,4684917.31530329
"Lyso PE(18:1)-d7",95954.3603257241,95454.529092859,100267.140972595,102412.265832505,83773.8611299415,115326.388302492,161544.725836096,188034.233178638,129411.197171243,109747.901781931,137812.221192953,135997.095323644,38831115.2099467,36957822.1732748,36250360.9190374,36485681.5210233,37297866.2718619,37834415.0974046,37750788.2564675,38468523.4148128,35653086.9219041,37877197.7848802,34753047.1473803,41084629.9959823
"PE(15:0-18:1)-d7",21337.431314637,23060.0494403818,250222.776314639,271771.43126106,311672.438315595,316566.43116187,290064.544058945,110259.913802397,266952.218555631,272300.156455468,276933.943782588,276917.891620144,22645473.2226818,22636975.0885236,28148897.8219661,30137582.7887058,26971671.1487174,30459703.439038,31647825.9068348,32987102.6078558,33245318.7073048,28206904.3187998,32506879.4683393,36984486.0630138
"DG(15:0-18:1)-d7",24073.0598838545,24280.9925932183,90590.7491180561,86614.736408453,113397.451570564,115119.453300043,110582.000260454,44720.3787759333,106514.646617954,101191.838553865,103540.607314067,95623.082563625,10283050.4997412,27564299.2008635,28727544.489425,24863456.6544385,24401329.3613162,31257514.7124076,32575343.4992998,38109584.1107217,33346656.3954858,26655339.575265,38225483.3570261,41454433.5703282
"Lyso PC(18:1)-d7_duplicate_1",140398.116262878,37570.9749223855,146713.101150071,149851.93376498,122579.755347228,48543.690945633,236375.745248846,275136.621669846,189357.330155775,160585.632986169,201649.994805908,198993.961618869,16479081.7224578,16778967.2591881,13383383.833717,14065181.6922186,14467077.2418122,14890670.7754009,13968029.6966983,14947199.9882871,13696939.266593,13352216.51351,12631527.8771236,15580633.2656817
