"Sample","Group"
"Area: 1_Empty_Pos.raw (F1)","Empty"
"Area: 2_Empty_Pos.raw (F2)","Empty"
"Area: 3_Untransfected_Pos.raw (F3)","Untransfected"
"Area: 4_Untransfected_Pos.raw (F4)","Untransfected"
"Area: 5_Wild_type_Pos.raw (F5)","Wild_type"
"Area: 6_Wild_type_Pos.raw (F6)","Wild_type"
"Area: 7_S90G_mutant1_Pos.raw (F7)","S90G_mutant1"
"Area: 8_S90G_mutant1_Pos.raw (F8)","S90G_mutant1"
"Area: 9_G97L_mutant2_Pos.raw (F9)","G97L_mutant2"
"Area: 10_G97L_mutant2_Pos.raw (F10)","G97L_mutant2"
"Area: 11_W520X_mutant3_Pos.raw (F11)","W520X_mutant3"
"Area: 12_W520X_mutant3_Pos.raw (F12)","W520X_mutant3"
"Area: 13_Empty_Pos.raw (F13)","Empty"
"Area: 14_Empty_Pos.raw (F14)","Empty"
"Area: 15_Untransfected_Pos.raw (F15)","Untransfected"
"Area: 16_Untransfected_Pos.raw (F16)","Untransfected"
"Area: 17_Wild_type_Pos.raw (F17)","Wild_type"
"Area: 18_Wild_type_Pos.raw (F18)","Wild_type"
"Area: 19_S90G_mutant1_Pos.raw (F19)","S90G_mutant1"
"Area: 20_S90G_mutant1_Pos.raw (F20)","S90G_mutant1"
"Area: 21_G97L_mutant2_Pos.raw (F21)","G97L_mutant2"
"Area: 22_G97L_mutant2_Pos.raw (F22)","G97L_mutant2"
"Area: 23_W520X_mutant3_Pos.raw (F23)","W520X_mutant3"
"Area: 24_W520X_mutant3_Pos.raw (F24)","W520X_mutant3"
