"feature_id","mean_intensity","sd_intensity","cv_percent"
"Coenzyme Q10-d9",3752906750.48034,3942336112.69075,105
"DG(15:0-18:1)-d7",14936678.5176366,16208832.372225,108.5
"Lyso PC(18:1)-d7",413835897.246946,426261907.647035,103
"Lyso PC(18:1)-d7_duplicate_1",7339527.74964862,7387706.06257148,100.7
"Lyso PC(18:1)-d7_duplicate_2",34486259.3942472,35809483.9520934,103.8
"Lyso PE(18:1)-d7",18779177.9430882,19093027.4211481,101.7
"Lyso PE(18:1)-d7_duplicate_1",2421571.98175386,2467762.1092887,101.9
"PC(15:0-18:1)-d7",52901829.1723269,54030490.1395876,102.1
"PC(15:0-18:1)-d7_duplicate_1",2552177289.17499,2625204890.02514,102.9
"PE(15:0-18:1)-d7",14969453.3253277,15349570.2236991,102.5
"SM(18:1)-d9",381382445.2257,390884154.596928,102.5
"SM(18:1)-d9_duplicate_1",3300240.15884463,1977944.19631233,59.9
"Tetranor-PGEM-d6",2641731.19738695,1275918.88495456,48.3
